gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
ENSG00000168389,False,MFSD2A,NCBITaxon:9606,gene,12835.0,True,856.0,0.07934398259192403,0.17178600782276454,1.7720945139498567
ENSG00000131238,False,PPT1,NCBITaxon:9606,gene,124224.0,True,1566.0,0.7679335328008704,1.9004854312882093,1.3410489168754234
ENSG00000179862,False,CITED4,NCBITaxon:9606,gene,38720.0,True,1193.0,0.23936104448455775,0.4831385443985441,1.5121726174135783
ENSG00000127124,False,HIVEP3,NCBITaxon:9606,gene,23125.0,True,2712.0,0.1429551692589204,0.2006587520687373,1.1283885235108269
ENSG00000117399,False,CDC20,NCBITaxon:9606,gene,918.0,True,303.0,0.005674933854256819,0.02413895891348326,3.457917136404815
ENSG00000117410,False,ATP6V0B,NCBITaxon:9606,gene,255811.0,True,2824.0,1.581383991493781,4.822954444168111,1.1172590034525909
ENSG00000198520,False,ARMH1,NCBITaxon:9606,gene,40247.0,True,2368.0,0.24880072203951437,0.391174232303314,1.1707164869299194
ENSG00000142945,False,KIF2C,NCBITaxon:9606,gene,882.0,True,510.0,0.005452387428599688,0.01595662168906344,2.381098983425987
ENSG00000173846,False,PLK3,NCBITaxon:9606,gene,65487.0,True,997.0,0.40483049380579117,0.9895950585248986,1.639099796642061
ENSG00000132780,False,NASP,NCBITaxon:9606,gene,104420.0,True,2940.0,0.6455082713088203,1.2295025828515023,1.1081341801756643
ENSG00000224805,False,LINC00853,NCBITaxon:9606,gene,800.0,True,1914.0,0.004945476125714003,0.007579258662978748,1.2498847512512736
ENSG00000162366,False,PDZK1IP1,NCBITaxon:9606,gene,3218.0,True,406.0,0.01989317771568458,0.06749370223172667,2.7785203387081556
ENSG00000162367,False,TAL1,NCBITaxon:9606,gene,2475.0,True,603.0,0.015300066763927696,0.040609609952580714,2.1599730600131837
ENSG00000123473,False,STIL,NCBITaxon:9606,gene,1037.0,True,2806.0,0.006410573427956777,0.008842270700686947,1.1188858438281735
ENSG00000132122,False,SPATA6,NCBITaxon:9606,gene,16340.0,True,2473.0,0.10101134986770852,0.14279825759390372,1.1570218186838195
ENSG00000085831,False,TTC39A,NCBITaxon:9606,gene,513.0,True,1396.0,0.0031712865656141043,0.00537436329687155,1.4084078425888875
ENSG00000227070,False,EPS15-AS1,NCBITaxon:9606,gene,62.0,True,2965.0,0.00038327439974283526,0.00045731246939792117,1.1060645586838793
ENSG00000230138,False,LINC02812,NCBITaxon:9606,gene,4784.0,True,1219.0,0.02957394723176974,0.05362486005108377,1.4975227852930917
ENSG00000177606,False,JUN,NCBITaxon:9606,gene,288158.0,True,471.0,1.7813481367918695,13.01447354214289,2.4884449330369205
ENSG00000162599,False,NFIA,NCBITaxon:9606,gene,12433.0,True,2883.0,0.07685888083875275,0.10437129340163517,1.1116942061759145
ENSG00000240563,False,L1TD1,NCBITaxon:9606,gene,3388.0,True,785.0,0.020944091392398802,0.048299310833517205,1.8907856422747176
ENSG00000162433,False,AK4,NCBITaxon:9606,gene,2973.0,True,1579.0,0.018378625652184663,0.030046180807329716,1.3368202123766157
ENSG00000184588,False,PDE4B,NCBITaxon:9606,gene,139536.0,True,576.0,0.8625899458470364,3.7342263021605238,2.22415357317541
ENSG00000116717,False,GADD45A,NCBITaxon:9606,gene,25614.0,True,1064.0,0.1583417818550481,0.3176760668358564,1.5919361993683945
ENSG00000116729,False,WLS,NCBITaxon:9606,gene,10987.0,True,2379.0,0.06791993274152469,0.09677592341246029,1.1691295846768577
ENSG00000024526,False,DEPDC1,NCBITaxon:9606,gene,357.0,True,841.0,0.002206918721099874,0.004674815192698985,1.791595205211118
ENSG00000172260,False,NEGR1,NCBITaxon:9606,gene,1660.0,True,2028.0,0.010261862960856556,0.015534858450232813,1.2261095306804113
ENSG00000154027,False,AK5,NCBITaxon:9606,gene,15187.0,True,2691.0,0.09388368240152321,0.12951780391911719,1.130652979551961
ENSG00000235927,False,NEXN-AS1,NCBITaxon:9606,gene,193.0,True,2179.0,0.0011930961153285033,0.0016367756065957112,1.198938789423162
ENSG00000162614,False,NEXN,NCBITaxon:9606,gene,12438.0,True,457.0,0.07688979006453846,0.23838359075424834,2.5380682277944566
ENSG00000273338,False,RP11-386I14.4,NCBITaxon:9606,gene,93222.0,True,513.0,0.5762839692391385,2.2540114600964354,2.369072605034112
ENSG00000137959,False,IFI44L,NCBITaxon:9606,gene,91036.0,True,393.0,0.562770455725625,2.58822863567451,2.8079415218056205
ENSG00000137965,False,IFI44,NCBITaxon:9606,gene,51805.0,True,1141.0,0.3202504883657674,0.6984318011547176,1.5447236742012165
ENSG00000234184,False,LINC01781,NCBITaxon:9606,gene,11489.0,True,235.0,0.07102321901041023,0.35955697060999686,4.150799883705396
ENSG00000117155,False,SSX2IP,NCBITaxon:9606,gene,12516.0,True,1931.0,0.07737197398679557,0.11789848342071099,1.247336870348681
ENSG00000153898,False,MCOLN2,NCBITaxon:9606,gene,8352.0,True,2573.0,0.051630770752454196,0.07146739243630719,1.1432121175491932
ENSG00000171502,False,COL24A1,NCBITaxon:9606,gene,1189.0,True,1963.0,0.007350213891842437,0.01126500247697292,1.2410835305296657
ENSG00000143013,False,LMO4,NCBITaxon:9606,gene,81553.0,True,639.0,0.5041480181004426,1.6714342382366003,2.096881423884006
ENSG00000117228,False,GBP1,NCBITaxon:9606,gene,77983.0,True,526.0,0.48207883088944387,1.7443361370080142,2.3187154315464067
ENSG00000162645,False,GBP2,NCBITaxon:9606,gene,121032.0,True,1525.0,0.7482010830592716,1.8512003765697256,1.3561588903833908
ENSG00000162654,False,GBP4,NCBITaxon:9606,gene,71118.0,True,1630.0,0.4396404638856606,0.8846253438013969,1.3215613230639478
ENSG00000154451,False,GBP5,NCBITaxon:9606,gene,64566.0,True,1504.0,0.3991370144160629,0.8100450630071021,1.3656752844106266
ENSG00000069702,False,TGFBR3,NCBITaxon:9606,gene,30910.0,True,1489.0,0.1910808338072748,0.33854275345417323,1.3699155657668056
ENSG00000122484,False,RPAP2,NCBITaxon:9606,gene,50813.0,True,2646.0,0.31411809796988205,0.5017817244229449,1.1362001474522538
ENSG00000067208,False,EVI5,NCBITaxon:9606,gene,44189.0,True,1720.0,0.2731695556489701,0.48306417725588885,1.2942458981630711
ENSG00000122483,False,CCDC18,NCBITaxon:9606,gene,18339.0,True,2472.0,0.11336885833683638,0.16051834169101792,1.1571383866741054
ENSG00000137942,False,FNBP1L,NCBITaxon:9606,gene,2886.0,True,1851.0,0.017840805123513267,0.027574361482004185,1.2629215822136532
ENSG00000137962,False,ARHGAP29,NCBITaxon:9606,gene,1833.0,True,2630.0,0.01133132217304221,0.01590122392918543,1.13730174594712
ENSG00000188641,False,DPYD,NCBITaxon:9606,gene,120130.0,True,1707.0,0.742625058727529,1.7535311022605995,1.2984742343165054
ENSG00000162631,False,NTNG1,NCBITaxon:9606,gene,418.0,True,2241.0,0.0025840112756855666,0.0036653615677674457,1.1899456923802747
ENSG00000134243,False,SORT1,NCBITaxon:9606,gene,30360.0,True,1789.0,0.18768081897084643,0.30890877602441513,1.2759470345877766
ENSG00000064886,False,CHI3L2,NCBITaxon:9606,gene,12260.0,True,1547.0,0.0757894216265671,0.12496567009055233,1.3502094184034217
ENSG00000143110,False,C1orf162,NCBITaxon:9606,gene,289058.0,True,1307.0,1.786911797433298,7.604488354304842,1.4467346495819
ENSG00000143079,False,CTTNBP2NL,NCBITaxon:9606,gene,6556.0,True,2385.0,0.04052817685022626,0.05722135020103099,1.1678007580242913
ENSG00000155366,False,RHOC,NCBITaxon:9606,gene,74247.0,True,541.0,0.45898345738235946,1.6183234438028713,2.289990037018592
ENSG00000155367,False,PPM1J,NCBITaxon:9606,gene,1453.0,True,1433.0,0.008982221013328058,0.015454392122226029,1.3932572222328052
ENSG00000226419,False,SLC16A1-AS1,NCBITaxon:9606,gene,12459.0,True,2293.0,0.07701960881283845,0.11125790628143274,1.182535732806261
ENSG00000175984,False,DENND2C,NCBITaxon:9606,gene,1457.0,True,983.0,0.009006948393956628,0.018334704946062905,1.6484007358528039
ENSG00000134198,False,TSPAN2,NCBITaxon:9606,gene,12747.0,True,2877.0,0.07879998021809549,0.10709826506778743,1.1124169479532795
ENSG00000116824,False,CD2,NCBITaxon:9606,gene,229835.0,True,1859.0,1.4208043816918474,4.582608043459397,1.2615512551216306
ENSG00000183508,False,TENT5C,NCBITaxon:9606,gene,23039.0,True,1134.0,0.14242353057540616,0.2744119747968826,1.549435787647973
ENSG00000092621,False,PHGDH,NCBITaxon:9606,gene,3753.0,True,2044.0,0.023200464874755817,0.034543923241561,1.2243669018732373
ENSG00000134250,False,NOTCH2,NCBITaxon:9606,gene,83842.0,True,2175.0,0.5182982616651418,0.9920367274685821,1.2001879633914447
ENSG00000198019,False,FCGR1B,NCBITaxon:9606,gene,12696.0,True,2009.0,0.07848470611508122,0.11799705848162903,1.2305550551400695
ENSG00000171943,False,SRGAP2C,NCBITaxon:9606,gene,42162.0,True,2802.0,0.26063895551544225,0.3950528882225396,1.1192195097520028
ENSG00000196369,False,SRGAP2B,NCBITaxon:9606,gene,37968.0,True,1980.0,0.2347122969263866,0.38669191045099444,1.2377696760932158
ENSG00000276216,False,CH17-373J23.1,NCBITaxon:9606,gene,88754.0,True,508.0,0.5486634850770258,2.1260357501122487,2.3857072100103873
ENSG00000117281,False,CD160,NCBITaxon:9606,gene,20017.0,True,582.0,0.1237419945105215,0.33620825835250545,2.209593287944427
ENSG00000270629,False,NBPF14,NCBITaxon:9606,gene,56973.0,True,2407.0,0.35219826413787986,0.5918115285775241,1.1653766272201722
ENSG00000271383,False,NBPF19,NCBITaxon:9606,gene,98289.0,True,2498.0,0.6076073786503796,1.1787360419866189,1.1537309097003214
ENSG00000150337,False,FCGR1A,NCBITaxon:9606,gene,33656.0,True,1135.0,0.2080561806087881,0.4219732645006668,1.5487827950962891
ENSG00000184678,False,H2BC21,NCBITaxon:9606,gene,16491.0,True,2295.0,0.10194480848643703,0.14730085472731907,1.182497799976787
ENSG00000184260,False,H2AC20,NCBITaxon:9606,gene,125954.0,True,1549.0,0.7786281249227269,1.9501658176067789,1.3488791619245626
ENSG00000014914,False,MTMR11,NCBITaxon:9606,gene,24234.0,True,1498.0,0.14981083553819144,0.25611223958237656,1.367063018561605
ENSG00000023902,False,PLEKHO1,NCBITaxon:9606,gene,196430.0,True,1381.0,1.2142998442175021,4.003307812046667,1.4164760321136696
ENSG00000118292,False,C1orf54,NCBITaxon:9606,gene,9583.0,True,352.0,0.059240622140896614,0.22443511259079416,3.115988360648871
ENSG00000143382,False,ADAMTSL4,NCBITaxon:9606,gene,18816.0,True,2521.0,0.11631759847679335,0.16395200427206658,1.1506909971765296
ENSG00000143384,False,MCL1,NCBITaxon:9606,gene,407154.0,True,1188.0,2.516962983111199,13.81736524158457,1.5136043002194577
ENSG00000163131,False,CTSS,NCBITaxon:9606,gene,2572874.0,True,291.0,15.905108676837862,633.0392822721395,3.557283550492765
ENSG00000143376,False,SNX27,NCBITaxon:9606,gene,63822.0,True,2963.0,0.3945377216191489,0.6466609393421497,1.106146968564812
ENSG00000197747,False,S100A10,NCBITaxon:9606,gene,1009939.0,True,829.0,6.243286516159343,71.3166079953671,1.8078975892313571
ENSG00000163191,False,S100A11,NCBITaxon:9606,gene,1259628.0,True,586.0,7.786825251601098,124.254674319696,2.206641030930578
ENSG00000163220,False,S100A9,NCBITaxon:9606,gene,8809353.0,True,68.0,54.458056180608786,12727.702888858052,9.833384652998868
ENSG00000163221,False,S100A12,NCBITaxon:9606,gene,481215.0,True,206.0,2.97479661729433,54.83293612142909,4.5886891413185875
ENSG00000143546,False,S100A8,NCBITaxon:9606,gene,4400293.0,True,87.0,27.20192997205806,3617.9024434341272,8.561074896783676
ENSG00000197956,False,S100A6,NCBITaxon:9606,gene,2959766.0,True,540.0,18.29681511337504,510.91102859822604,2.290843549256016
ENSG00000196154,False,S100A4,NCBITaxon:9606,gene,3428841.0,True,645.0,21.19656413046166,590.3814645529923,2.0884259331670783
ENSG00000143545,False,RAB13,NCBITaxon:9606,gene,11275.0,True,1871.0,0.06970030414678173,0.10694119836271171,1.2583921888243352
ENSG00000143595,False,AQP10,NCBITaxon:9606,gene,699.0,True,1017.0,0.00432110976484261,0.008567963899497271,1.6254842882439913
ENSG00000160712,False,IL6R,NCBITaxon:9606,gene,62663.0,True,2591.0,0.38737296308202074,0.6522075382776238,1.1415249295835883
ENSG00000143603,False,KCNN3,NCBITaxon:9606,gene,445.0,True,2754.0,0.0027509210949284144,0.0036953805265280476,1.1236458795821551
ENSG00000173207,False,CKS1B,NCBITaxon:9606,gene,20583.0,True,1233.0,0.12724091886946415,0.233205369379281,1.487616359088909
ENSG00000143537,False,ADAM15,NCBITaxon:9606,gene,26604.0,True,2736.0,0.16446180856061918,0.23464363324768528,1.1258355454442945
ENSG00000160789,False,LMNA,NCBITaxon:9606,gene,38450.0,True,171.0,0.23769194629212928,1.6621523133538298,5.24426652477585
ENSG00000196189,False,SEMA4A,NCBITaxon:9606,gene,43221.0,True,1505.0,0.26718552953685615,0.4960279806128447,1.364504783949064
ENSG00000027869,False,SH2D2A,NCBITaxon:9606,gene,23122.0,True,2458.0,0.14293662372344898,0.20602374700194298,1.1587226299834903
ENSG00000187800,False,PEAR1,NCBITaxon:9606,gene,969.0,True,1046.0,0.005990207957271086,0.01183951514554873,1.6050955813493093
ENSG00000117036,False,ETV3,NCBITaxon:9606,gene,26717.0,True,2049.0,0.16516035706337628,0.2561797861089059,1.2232267025611407
ENSG00000143297,False,FCRL5,NCBITaxon:9606,gene,14145.0,True,266.0,0.08744219974778072,0.40245377548985045,3.772033161574557
ENSG00000163518,False,FCRL4,NCBITaxon:9606,gene,71.0,True,1023.0,0.0004389110061571178,0.0007725427775113151,1.6214593023379102
ENSG00000160856,False,FCRL3,NCBITaxon:9606,gene,22452.0,True,940.0,0.1387947874681635,0.28991660288059756,1.6837180147009578
ENSG00000132704,False,FCRL2,NCBITaxon:9606,gene,8419.0,True,772.0,0.05204495437798274,0.12020569307624013,1.9071103547975246
ENSG00000163534,False,FCRL1,NCBITaxon:9606,gene,13500.0,True,770.0,0.08345490962142381,0.19456463295135762,1.909243637684947
ENSG00000158473,False,CD1D,NCBITaxon:9606,gene,43054.0,True,1406.0,0.26615316139561335,0.5078852505781536,1.4035679547852258
ENSG00000176320,False,RP11-404O13.5,NCBITaxon:9606,gene,544.0,True,1639.0,0.003362923765485522,0.0053545654412416425,1.3199109872422579
ENSG00000158481,False,CD1C,NCBITaxon:9606,gene,22467.0,True,129.0,0.13888751514552064,1.1176759468928938,6.486292878215703
ENSG00000158485,False,CD1B,NCBITaxon:9606,gene,758.0,True,1668.0,0.004685838629114018,0.0075075767284182695,1.308961574120671
ENSG00000158488,False,CD1E,NCBITaxon:9606,gene,2435.0,True,452.0,0.015052792957641998,0.047281185741783624,2.5551535658051536
ENSG00000163563,False,MNDA,NCBITaxon:9606,gene,760804.0,True,391.0,4.703172522934645,70.6623240905684,2.8271594170428225
ENSG00000163564,False,PYHIN1,NCBITaxon:9606,gene,79795.0,True,1142.0,0.4932803343141861,1.1964769182285233,1.5441035112261114
ENSG00000163568,False,AIM2,NCBITaxon:9606,gene,15747.0,True,730.0,0.09734551568952302,0.23299580351774857,1.9598857449188447
ENSG00000179639,False,FCER1A,NCBITaxon:9606,gene,42411.0,True,41.0,0.2621782349595707,5.535714340591537,15.57404149089937
ENSG00000181036,False,FCRL6,NCBITaxon:9606,gene,21130.0,True,1411.0,0.1306223881704211,0.22620716071014618,1.402889569490337
ENSG00000158714,False,SLAMF8,NCBITaxon:9606,gene,2251.0,True,1711.0,0.013915333448727776,0.022203325756860577,1.296115824708243
ENSG00000158710,False,TAGLN2,NCBITaxon:9606,gene,374659.0,True,2054.0,2.3160839247298535,9.75330151421075,1.2216362552794742
ENSG00000018625,False,ATP1A2,NCBITaxon:9606,gene,76.0,True,1355.0,0.0004698202319428303,0.0007292415055505427,1.4249435967597903
ENSG00000162734,False,PEA15,NCBITaxon:9606,gene,41107.0,True,1520.0,0.2541171088746569,0.4646984044897924,1.3566075258402281
ENSG00000026751,False,SLAMF7,NCBITaxon:9606,gene,40180.0,True,743.0,0.2483865384139858,0.647810864576596,1.9425632550051668
ENSG00000179914,False,ITLN1,NCBITaxon:9606,gene,985.0,True,1778.0,0.006089117479785367,0.009588114830229566,1.2783868960495182
ENSG00000158869,False,FCER1G,NCBITaxon:9606,gene,743526.0,True,460.0,4.596362602309537,60.85556585718452,2.52658796078061
ENSG00000143226,False,FCGR2A,NCBITaxon:9606,gene,111299.0,True,882.0,0.6880331841448035,2.1091077356249035,1.7400542870518225
ENSG00000173110,False,HSPA6,NCBITaxon:9606,gene,12298.0,True,2360.0,0.07602433174253852,0.10880765544795452,1.1719171895436549
ENSG00000203747,False,FCGR3A,NCBITaxon:9606,gene,255856.0,True,132.0,1.5816621745258526,27.474257046883174,6.362730707059273
ENSG00000162747,False,FCGR3B,NCBITaxon:9606,gene,3200.0,True,240.0,0.019781904502856013,0.09912463236704891,4.103196493110904
ENSG00000072694,False,FCGR2B,NCBITaxon:9606,gene,17329.0,True,790.0,0.10712519472812244,0.2458944721633289,1.8779417345490674
ENSG00000132185,False,FCRLA,NCBITaxon:9606,gene,8793.0,True,1007.0,0.05435696446675404,0.10760828626722109,1.6324286389454674
ENSG00000198574,False,SH2D1B,NCBITaxon:9606,gene,13428.0,True,1382.0,0.08300981677010955,0.14357636901153625,1.4163335862385409
ENSG00000143228,False,NUF2,NCBITaxon:9606,gene,2062.0,True,858.0,0.012746964714027843,0.027816718030450195,1.7708122234154322
ENSG00000185630,False,PBX1,NCBITaxon:9606,gene,2125.0,True,876.0,0.01313642095892782,0.028344461375359377,1.7515342923825057
ENSG00000198821,False,CD247,NCBITaxon:9606,gene,168777.0,True,1062.0,1.0433532800870404,3.556962738369141,1.5924520363088877
ENSG00000143162,False,CREG1,NCBITaxon:9606,gene,68087.0,True,1332.0,0.42090329121436165,0.9116606245622995,1.4383014037629138
ENSG00000143185,False,XCL2,NCBITaxon:9606,gene,23938.0,True,408.0,0.14798100937167727,0.5081238020910737,2.7500093587782177
ENSG00000143184,False,XCL1,NCBITaxon:9606,gene,8770.0,True,375.0,0.05421478202813976,0.19495518976288917,2.9654973478871467
ENSG00000143153,False,ATP1B1,NCBITaxon:9606,gene,7614.0,True,1291.0,0.04706856902648302,0.08264943105303553,1.4524347420657693
ENSG00000198734,False,F5,NCBITaxon:9606,gene,18642.0,True,1212.0,0.11524195741945056,0.21202413054771613,1.5026401999292194
ENSG00000174175,False,SELP,NCBITaxon:9606,gene,2303.0,True,864.0,0.014236789396899187,0.030923095355667774,1.764962967748668
ENSG00000197959,False,DNM3,NCBITaxon:9606,gene,2653.0,True,775.0,0.01640043520189906,0.038312158190744953,1.9045161010715417
ENSG00000117586,False,TNFSF4,NCBITaxon:9606,gene,2299.0,True,459.0,0.014212062016270616,0.04421484807665974,2.5279209113978434
ENSG00000152061,False,RABGAP1L,NCBITaxon:9606,gene,95827.0,True,2525.0,0.5923876758734947,1.1352921631277606,1.1499122674519473
ENSG00000116191,False,RALGPS2,NCBITaxon:9606,gene,83378.0,True,261.0,0.5154298855122277,3.1432928853057063,3.8306998863473205
ENSG00000116260,False,QSOX1,NCBITaxon:9606,gene,31306.0,True,2617.0,0.19352884448950322,0.28551266973539985,1.138599241797103
ENSG00000162783,False,IER5,NCBITaxon:9606,gene,153341.0,True,887.0,0.9479303182413887,3.353278667376523,1.7358659419092457
ENSG00000135821,False,GLUL,NCBITaxon:9606,gene,151270.0,True,641.0,0.9351277169209465,3.9654261497467136,2.094996794072101
ENSG00000143333,False,RGS16,NCBITaxon:9606,gene,733.0,True,1901.0,0.004531292500185456,0.006934086055509443,1.2518668983574421
ENSG00000135838,False,NPL,NCBITaxon:9606,gene,27702.0,True,2358.0,0.17124947454316164,0.2558189886204443,1.172295957924763
ENSG00000116701,False,NCF2,NCBITaxon:9606,gene,261230.0,True,746.0,1.6148834104003362,8.654649126813878,1.9382854235162712
ENSG00000143344,False,RGL1,NCBITaxon:9606,gene,3430.0,True,2302.0,0.02120372888899879,0.030533998565250263,1.1810688278673076
ENSG00000116667,False,C1orf21,NCBITaxon:9606,gene,32901.0,True,1257.0,0.20338888751514553,0.39060416913543494,1.4713977972349321
ENSG00000135842,False,NIBAN1,NCBITaxon:9606,gene,64826.0,True,2167.0,0.40074429415692,0.7158951700140469,1.2008951088005255
ENSG00000116679,False,IVNS1ABP,NCBITaxon:9606,gene,84680.0,True,1153.0,0.5234786479068272,1.2896387189604062,1.539926958115796
ENSG00000073756,False,PTGS2,NCBITaxon:9606,gene,90664.0,True,100.0,0.560470809327168,7.263561349277111,7.923262670292357
ENSG00000150681,False,RGS18,NCBITaxon:9606,gene,84220.0,True,149.0,0.5206349991345417,4.7681244807090355,5.7345137330428635
ENSG00000236069,False,RP5-1011O1.3,NCBITaxon:9606,gene,609.0,True,920.0,0.0037647437006997847,0.00775645401659385,1.6999771977335383
ENSG00000090104,False,RGS1,NCBITaxon:9606,gene,14141.0,True,570.0,0.08741747236715215,0.2381065479946317,2.2322969489195064
ENSG00000116741,False,RGS2,NCBITaxon:9606,gene,263191.0,True,418.0,1.6270060087534928,12.100478240086415,2.6775411448571993
ENSG00000000971,False,CFH,NCBITaxon:9606,gene,4724.0,True,2182.0,0.02920303652234119,0.04238326969374117,1.1984962537680326
